testNo ,repeatNo, agentNo, agentID, agentType, agentTypeNo, x, y, z, yaw, vel_x, vel_y, vel_z, speed, time, sim_time, fps
0, 0, 2, 34, vehicle.mercedes-benz.coupe, 3, -328.398, 190.299, 7.429, -0.436, 0.000, 0.000, 0.000, 0.000, 3.700, 818.836, 0.000
0, 0, 3, 35, vehicle.mercedes-benz.coupe, 3, -263.812, 162.016, 7.429, 2.680, -4.228, 2.211, 0.000, 4.771, 3.700, 818.836, 0.000
0, 0, 1, 33, vehicle.mercedes-benz.coupe, 3, -362.123, 206.782, 7.429, -0.448, 4.288, -2.074, 0.000, 4.763, 3.800, 818.936, 0.000
0, 0, 2, 34, vehicle.mercedes-benz.coupe, 3, -328.398, 190.299, 7.429, -0.436, 0.000, 0.000, 0.000, 0.000, 3.800, 818.936, 0.000
0, 0, 3, 35, vehicle.mercedes-benz.coupe, 3, -264.235, 162.233, 7.429, 2.677, -4.245, 2.135, 0.000, 4.751, 3.800, 818.936, 0.000
0, 0, 1, 33, vehicle.mercedes-benz.coupe, 3, -361.695, 206.572, 7.429, -0.450, 4.255, -2.143, 0.000, 4.764, 3.900, 819.036, 0.000
0, 0, 2, 34, vehicle.mercedes-benz.coupe, 3, -328.398, 190.299, 7.429, -0.436, 0.000, 0.000, 0.000, 0.000, 3.900, 819.036, 0.000
0, 0, 3, 35, vehicle.mercedes-benz.coupe, 3, -264.661, 162.445, 7.429, 2.678, -4.271, 2.107, 0.000, 4.762, 3.900, 819.036, 0.000
0, 0, 1, 33, vehicle.mercedes-benz.coupe, 3, -361.270, 206.357, 7.429, -0.456, 4.231, -2.173, 0.000, 4.756, 4.000, 819.136, 0.000
0, 0, 2, 34, vehicle.mercedes-benz.coupe, 3, -328.398, 190.299, 7.429, -0.436, 0.000, 0.000, 0.000, 0.000, 4.000, 819.136, 0.000
0, 0, 3, 35, vehicle.mercedes-benz.coupe, 3, -265.089, 162.655, 7.429, 2.681, -4.297, 2.057, 0.000, 4.764, 4.000, 819.136, 0.000
0, 0, 1, 33, vehicle.mercedes-benz.coupe, 3, -360.846, 206.143, 7.429, -0.459, 4.253, -2.110, 0.000, 4.748, 4.100, 819.236, 0.000
0, 0, 2, 34, vehicle.mercedes-benz.coupe, 3, -328.398, 190.299, 7.429, -0.436, 0.000, 0.000, 0.000, 0.000, 4.100, 819.236, 0.000
0, 0, 3, 35, vehicle.mercedes-benz.coupe, 3, -265.519, 162.860, 7.429, 2.685, -4.300, 2.033, 0.000, 4.756, 4.100, 819.236, 0.000
0, 0, 1, 33, vehicle.mercedes-benz.coupe, 3, -360.420, 205.934, 7.429, -0.458, 4.261, -2.076, 0.000, 4.740, 4.200, 819.336, 0.000
0, 0, 2, 34, vehicle.mercedes-benz.coupe, 3, -328.398, 190.299, 7.429, -0.436, 0.000, 0.000, 0.000, 0.000, 4.200, 819.336, 0.000
0, 0, 3, 35, vehicle.mercedes-benz.coupe, 3, -265.947, 163.066, 7.429, 2.687, -4.257, 2.101, 0.000, 4.747, 4.200, 819.336, 0.000
0, 0, 1, 33, vehicle.mercedes-benz.coupe, 3, -359.995, 205.725, 7.429, -0.458, 4.224, -2.132, 0.000, 4.731, 4.300, 819.436, 0.000
0, 0, 2, 34, vehicle.mercedes-benz.coupe, 3, -328.398, 190.299, 7.429, -0.436, 0.000, 0.000, 0.000, 0.000, 4.300, 819.436, 0.000
0, 0, 3, 35, vehicle.mercedes-benz.coupe, 3, -266.371, 163.278, 7.429, 2.684, -4.232, 2.133, 0.000, 4.739, 4.300, 819.436, 0.000
0, 0, 1, 33, vehicle.mercedes-benz.coupe, 3, -359.566, 205.507, 7.429, -0.462, 4.426, -2.271, 0.000, 4.975, 4.400, 819.536, 0.000
0, 0, 2, 34, vehicle.mercedes-benz.coupe, 3, -328.398, 190.299, 7.429, -0.436, 0.000, 0.000, 0.000, 0.000, 4.400, 819.536, 0.000
0, 0, 3, 35, vehicle.mercedes-benz.coupe, 3, -266.794, 163.491, 7.429, 2.682, -4.223, 2.134, 0.000, 4.732, 4.400, 819.536, 0.000
0, 0, 1, 33, vehicle.mercedes-benz.coupe, 3, -359.106, 205.275, 7.429, -0.463, 4.723, -2.344, 0.001, 5.273, 4.500, 819.636, 0.000
0, 0, 2, 34, vehicle.mercedes-benz.coupe, 3, -328.398, 190.299, 7.429, -0.436, 0.000, 0.000, 0.000, 0.000, 4.500, 819.636, 0.000
0, 0, 3, 35, vehicle.mercedes-benz.coupe, 3, -267.227, 163.703, 7.429, 2.684, -4.479, 2.162, 0.000, 4.974, 4.500, 819.636, 0.000
0, 0, 1, 33, vehicle.mercedes-benz.coupe, 3, -358.624, 205.038, 7.429, -0.461, 4.871, -2.380, -0.001, 5.421, 4.600, 819.736, 0.000
0, 0, 2, 34, vehicle.mercedes-benz.coupe, 3, -328.398, 190.299, 7.429, -0.436, 0.000, 0.000, 0.000, 0.000, 4.600, 819.736, 0.000
0, 0, 3, 35, vehicle.mercedes-benz.coupe, 3, -267.691, 163.927, 7.429, 2.686, -4.754, 2.284, 0.001, 5.274, 4.600, 819.736, 0.000
0, 0, 1, 33, vehicle.mercedes-benz.coupe, 3, -358.134, 204.799, 7.429, -0.458, 4.928, -2.352, -0.000, 5.460, 4.700, 819.836, 0.000
0, 0, 2, 34, vehicle.mercedes-benz.coupe, 3, -328.398, 190.299, 7.429, -0.436, 0.000, 0.000, 0.000, 0.000, 4.700, 819.836, 0.000
0, 0, 3, 35, vehicle.mercedes-benz.coupe, 3, -268.171, 164.166, 7.429, 2.684, -4.837, 2.445, -0.001, 5.420, 4.700, 819.836, 0.000
0, 0, 1, 33, vehicle.mercedes-benz.coupe, 3, -357.642, 204.565, 7.429, -0.453, 4.918, -2.318, -0.000, 5.437, 4.800, 819.936, 0.000
0, 0, 2, 34, vehicle.mercedes-benz.coupe, 3, -328.398, 190.299, 7.429, -0.436, 0.000, 0.000, 0.000, 0.000, 4.800, 819.936, 0.000
0, 0, 3, 35, vehicle.mercedes-benz.coupe, 3, -268.657, 164.411, 7.429, 2.680, -4.865, 2.479, -0.000, 5.460, 4.800, 819.936, 0.000
0, 0, 1, 33, vehicle.mercedes-benz.coupe, 3, -357.155, 204.330, 7.429, -0.453, 4.809, -2.418, -0.000, 5.383, 4.900, 820.036, 0.000
0, 0, 2, 34, vehicle.mercedes-benz.coupe, 3, -328.398, 190.299, 7.429, -0.436, 0.000, 0.000, 0.000, 0.000, 4.900, 820.036, 0.000
0, 0, 3, 35, vehicle.mercedes-benz.coupe, 3, -269.146, 164.653, 7.429, 2.681, -4.885, 2.386, -0.000, 5.436, 4.900, 820.036, 0.000
0, 0, 1, 33, vehicle.mercedes-benz.coupe, 3, -356.679, 204.086, 7.430, -0.460, 4.722, -2.470, -0.000, 5.329, 5.000, 820.136, 0.000
0, 0, 2, 34, vehicle.mercedes-benz.coupe, 3, -328.398, 190.299, 7.429, -0.436, 0.000, 0.000, 0.000, 0.000, 5.000, 820.136, 0.000
0, 0, 3, 35, vehicle.mercedes-benz.coupe, 3, -269.631, 164.892, 7.429, 2.682, -4.815, 2.413, -0.000, 5.386, 5.000, 820.136, 0.000
0, 0, 1, 33, vehicle.mercedes-benz.coupe, 3, -356.206, 203.847, 7.430, -0.462, 4.724, -2.365, -0.000, 5.283, 5.100, 820.236, 0.000
0, 0, 2, 34, vehicle.mercedes-benz.coupe, 3, -328.398, 190.299, 7.429, -0.436, 0.000, 0.000, 0.000, 0.000, 5.100, 820.236, 0.000
0, 0, 3, 35, vehicle.mercedes-benz.coupe, 3, -270.109, 165.133, 7.430, 2.679, -4.751, 2.420, -0.000, 5.332, 5.100, 820.236, 0.000
0, 0, 1, 33, vehicle.mercedes-benz.coupe, 3, -355.735, 203.612, 7.430, -0.462, 4.700, -2.338, -0.000, 5.249, 5.200, 820.336, 0.000
0, 0, 2, 34, vehicle.mercedes-benz.coupe, 3, -328.398, 190.299, 7.429, -0.436, 0.000, 0.000, 0.000, 0.000, 5.200, 820.336, 0.000
0, 0, 3, 35, vehicle.mercedes-benz.coupe, 3, -270.583, 165.372, 7.430, 2.678, -4.736, 2.344, -0.000, 5.285, 5.200, 820.336, 0.000
0, 0, 1, 33, vehicle.mercedes-benz.coupe, 3, -355.264, 203.383, 7.430, -0.459, 4.714, -2.258, -0.000, 5.227, 5.300, 820.436, 0.000
