lanelet_id, bound, x, y, yaw
105, leftBound, -297.79246, -128.86323, -0.758689 
105, leftBound, -298.14075, -128.49582, -0.758717 
105, leftBound, -298.48905, -128.12842, -0.758703 
105, leftBound, -298.83734, -127.76102, 2.608833 
105, rightBound, -279.92793, -159.83099, -0.479540 
105, rightBound, -280.16150, -159.38184, -0.479540 
105, rightBound, -280.39507, -158.93269, -0.479540 
105, rightBound, -280.62864, -158.48354, -0.479558 
105, rightBound, -280.86222, -158.03439, -0.479540 
105, rightBound, -281.09579, -157.58524, -0.479540 
105, rightBound, -281.32936, -157.13609, -0.479540 
105, rightBound, -281.56293, -156.68694, -0.479539 
105, rightBound, -281.79613, -156.23850, -0.476637 
105, rightBound, -282.01980, -155.80532, -0.471280 
105, rightBound, -282.24114, -155.37096, -0.465932 
105, rightBound, -282.46016, -154.93541, -0.460575 
105, rightBound, -282.67684, -154.49870, -0.455236 
105, rightBound, -282.89119, -154.06083, -0.449860 
105, rightBound, -283.10318, -153.62182, -0.444511 
105, rightBound, -283.31282, -153.18168, -0.439161 
105, rightBound, -283.52010, -152.74043, -0.433812 
105, rightBound, -283.72502, -152.29807, -0.428469 
105, rightBound, -283.92757, -151.85463, -0.423081 
105, rightBound, -284.12773, -151.41010, -0.417756 
105, rightBound, -284.32552, -150.96451, -0.412401 
105, rightBound, -284.52092, -150.51787, -0.407036 
105, rightBound, -284.71392, -150.07019, -0.401679 
105, rightBound, -284.90452, -149.62148, -0.396330 
105, rightBound, -285.09272, -149.17175, -0.390985 
105, rightBound, -285.27851, -148.72103, -0.387604 
105, rightBound, -285.46886, -148.25478, -0.387459 
105, rightBound, -285.65949, -147.78765, -0.386375 
105, rightBound, -285.84848, -147.32310, -0.385035 
105, rightBound, -286.03685, -146.85829, -0.383676 
105, rightBound, -286.22459, -146.39322, -0.382332 
105, rightBound, -286.41170, -145.92791, -0.380991 
105, rightBound, -286.59819, -145.46234, -0.379621 
105, rightBound, -286.78404, -144.99652, -0.378289 
105, rightBound, -286.96927, -144.53045, -0.376919 
105, rightBound, -287.15386, -144.06413, -0.375586 
105, rightBound, -287.33783, -143.59756, -0.374234 
105, rightBound, -287.52117, -143.13074, -0.372890 
105, rightBound, -287.70388, -142.66368, -0.371520 
105, rightBound, -287.88595, -142.19637, -0.370187 
105, rightBound, -288.06740, -141.72881, -0.368780 
105, rightBound, -288.24734, -141.26320, -0.364695 
105, rightBound, -288.42089, -140.80861, -0.359050 
105, rightBound, -288.59187, -140.35305, -0.353431 
105, rightBound, -288.76029, -139.89653, -0.347833 
105, rightBound, -288.92615, -139.43908, -0.342224 
105, rightBound, -289.08944, -138.98071, -0.336575 
105, rightBound, -289.25014, -138.52142, -0.330986 
105, rightBound, -289.40827, -138.06124, -0.325344 
105, rightBound, -289.56380, -137.60018, -0.319749 
105, rightBound, -289.71675, -137.13825, -0.314127 
105, rightBound, -289.86710, -136.67547, -0.308493 
105, rightBound, -290.01484, -136.21185, -0.302890 
105, rightBound, -290.15998, -135.74741, -0.297274 
105, rightBound, -290.30251, -135.28216, -0.291650 
105, rightBound, -290.44242, -134.81612, -0.291795 
105, rightBound, -290.60130, -134.28717, -0.317690 
105, rightBound, -290.79373, -133.70197, -0.349048 
105, rightBound, -291.00441, -133.12310, -0.380428 
105, rightBound, -291.23315, -132.55112, -0.411790 
105, rightBound, -291.47971, -131.98660, -0.443166 
105, rightBound, -291.74386, -131.43009, -0.474530 
105, rightBound, -292.02533, -130.88214, -0.505883 
105, rightBound, -292.32384, -130.34328, -0.537276 
105, rightBound, -292.63912, -129.81405, -0.568628 
105, rightBound, -292.97083, -129.29497, -0.600015 
105, rightBound, -293.31867, -128.78655, -0.631365 
105, rightBound, -293.68227, -128.28929, -0.662752 
105, rightBound, -294.06130, -127.80368, -0.694119 
105, rightBound, -294.45537, -127.33020, -0.725467 
105, rightBound, -294.86409, -126.86930, -0.753391 
105, rightBound, -295.25242, -126.45528, -0.758703 
105, rightBound, -295.60071, -126.08788, -0.758703 
105, rightBound, -295.94900, -125.72048, -0.758717 
105, rightBound, -296.29730, -125.35308, -0.758717 
110, leftBound, -298.48642, -115.02702, 0.813764 
110, leftBound, -298.12253, -114.68321, 0.813765 
110, leftBound, -297.75865, -114.33941, 0.813750 
110, leftBound, -297.39477, -113.99560, 0.813779 
110, leftBound, -297.03088, -113.65180, 0.813765 
110, leftBound, -296.66700, -113.30800, 0.813750 
110, leftBound, -296.30312, -112.96419, 0.813779 
110, leftBound, -295.93923, -112.62039, 0.813750 
110, leftBound, -295.57535, -112.27658, 0.813779 
110, leftBound, -295.21146, -111.93278, 0.813750 
110, leftBound, -294.84758, -111.58897, 0.813765 
110, leftBound, -294.48370, -111.24517, 0.813779 
110, leftBound, -294.11981, -110.90137, 0.813750 
110, leftBound, -293.75593, -110.55756, 0.813765 
110, leftBound, -293.39205, -110.21376, 0.813764 
110, leftBound, -293.02816, -109.86995, 0.813765 
110, leftBound, -292.66428, -109.52615, 0.813750 
110, leftBound, -292.30040, -109.18234, 0.813779 
110, leftBound, -291.93651, -108.83854, 0.813750 
110, leftBound, -291.57263, -108.49473, 0.813779 
110, leftBound, -291.20874, -108.15093, 0.813765 
110, leftBound, -290.84486, -107.80713, 0.813750 
110, leftBound, -290.48098, -107.46332, 0.813779 
110, leftBound, -290.11709, -107.11952, 0.813750 
110, leftBound, -289.75321, -106.77571, 0.813765 
110, leftBound, -289.38933, -106.43191, 0.813764 
110, leftBound, -289.02544, -106.08810, 0.813750 
110, leftBound, -288.66156, -105.74429, 0.813058 
110, leftBound, -288.29792, -105.40023, 0.812069 
110, leftBound, -287.93462, -105.05581, 0.811066 
110, leftBound, -287.57167, -104.71103, 0.810063 
110, leftBound, -287.20906, -104.36588, 0.809073 
110, leftBound, -286.84679, -104.02037, 0.808042 
110, leftBound, -286.48488, -103.67449, 0.807068 
110, leftBound, -286.12331, -103.32826, 0.806064 
110, leftBound, -285.76208, -102.98166, 0.805047 
110, leftBound, -285.40121, -102.63470, 0.804058 
110, leftBound, -285.04068, -102.28738, 0.803055 
