lanelet_id, bound, x, y
110, leftBound, -272.99114, -90.266992
110, leftBound, -272.64201, -89.908213
110, leftBound, -272.29288, -89.549434
110, leftBound, -271.94376, -89.190656
110, leftBound, -271.59448, -88.832017
110, leftBound, -271.24478, -88.473804
110, leftBound, -270.89462, -88.116026
110, leftBound, -270.54402, -87.758683
110, leftBound, -270.19298, -87.401776
110, leftBound, -269.84150, -87.045305
110, leftBound, -269.48957, -86.689272
110, leftBound, -269.13720, -86.333676
110, leftBound, -268.78439, -85.978518
110, leftBound, -268.43114, -85.623799
110, leftBound, -268.07744, -85.269519
110, leftBound, -267.72331, -84.915679
110, leftBound, -267.36874, -84.562280
110, leftBound, -267.01373, -84.209321
110, leftBound, -266.65828, -83.856803
110, leftBound, -266.30239, -83.504727
110, leftBound, -265.94607, -83.153094
110, leftBound, -265.58931, -82.801904
110, leftBound, -265.23211, -82.451157
110, leftBound, -264.87448, -82.100855
110, leftBound, -264.51641, -81.750997
110, leftBound, -264.15791, -81.401585
110, leftBound, -263.79897, -81.052618
110, leftBound, -263.43960, -80.704097
110, leftBound, -263.07980, -80.356023
110, leftBound, -262.71957, -80.008397
110, leftBound, -262.35890, -79.661218
110, leftBound, -261.99781, -79.314488
110, leftBound, -261.63628, -78.968207
110, leftBound, -261.27432, -78.622375
110, leftBound, -260.91193, -78.276993
110, leftBound, -260.54912, -77.932062
110, leftBound, -260.18588, -77.587582
110, leftBound, -259.82220, -77.243553
110, leftBound, -259.45810, -76.899977
110, leftBound, -259.09358, -76.556853
110, leftBound, -258.72863, -76.214183
110, leftBound, -258.36325, -75.871966
110, leftBound, -257.99745, -75.530204
110, leftBound, -257.63122, -75.188896
110, leftBound, -257.26457, -74.848044
110, leftBound, -256.89750, -74.507647
110, leftBound, -256.53000, -74.167707
110, leftBound, -256.16208, -73.828224
110, leftBound, -255.79374, -73.489198
110, leftBound, -255.42498, -73.150630
110, leftBound, -255.05580, -72.812521
110, leftBound, -254.68620, -72.474871
110, leftBound, -254.31618, -72.137680
110, leftBound, -253.94574, -71.800949
110, leftBound, -253.57488, -71.464678
110, leftBound, -253.20361, -71.128869
110, leftBound, -252.83192, -70.793522
110, leftBound, -252.46001, -70.458416
110, leftBound, -252.08810, -70.123310
110, leftBound, -251.71619, -69.788205
110, leftBound, -251.34428, -69.453099
110, leftBound, -250.97237, -69.117993
110, leftBound, -250.60046, -68.782888
